collocation, frequency, metaphor
mesa, 3891, 1
mesas, 1903, 1
negocio, 942, 1
forma, 833, 0
n?meros, 274, 1
formas, 270, 1
bordes, 264, 0
punta, 219, 1
esquinas, 212, 0
ojos, 177, 0
cuello, 148, 0
molde, 139, 0
rostro, 135, 0
n?mero, 129, 1
cabeza, 115, 0
viaje, 114, 1
puntas, 95, 0
cara, 90, 0
cifras, 77, 1
piedras, 74, 0
cifra, 70, 1
cuerpo, 68, 0
gafas, 68, 0
cepillo, 65, 0
casa, 63, 0
piedra, 60, 0
tierra, 60, 0
objeto, 58, 0
bulto, 57, 0
d?a, 55, 1
bato, 52, 0
partido, 53, 1
pel?cula, 49, 1
rey, 49, 1
lentes, 47, 0
luna, 47, 0
semillas, 47, 0
cosa, 46, 0
letra, 46, 1
a?o, 44, 1
disco, 44, 0
copa, 43, 0
novela, 43, 1
obra, 43, 1
objetos, 41, 0
rocas, 41, 0
hojas, 40, 0
manchas, 40, 0
pedro, 40, 0
ventana, 39, 0
grados, 38, 0
carita, 36, 0
naglas, 36, 0
recipiente, 36, 0
moldes, 35, 0
producto, 35, 1
?ngulos, 34, 0
historia, 34, 1
l?neas, 34, 0
pero, 34, 0
gusano, 33, 0
noche, 33, 1
personajes, 33, 1
espejo, 32, 0
final, 32, 1
gusanos, 32, 0
mundo, 32, 1
rostros, 32, 0
tabla, 32, 0
agujero, 31, 0
superficie, 31, 0
base, 30, 0
cama, 30, 0
pan, 30, 0
templo, 30, 0
fajardo, 29, 0
bordes, 27, 0
cantos, 27, 1
capit?n, 27, 0
escote, 27, 0
figuras, 27, 0
grano, 27, 0
figura, 27, 0
grano, 27, 0
parte, 27, 0
dise?o, 27, 0
libro, 27, 1
ligamento, 27, 0
escudo, 26, 0
orejas, 26, 0
punto, 26, 1
pies, 25, 0
sombrero, 25, 0
aspecto, 24, 1
c?lulas, 24, 0
dolores, 24, 0
garc?a, 24, 0
personajes, 24, 1
canciones, 23, 1
nariz, 23, 0
